country,year,value
AR,2024,638365455340.04
AR,2023,649461687959.174
AR,2022,633993756301.08
AR,2021,486564085480.036
AR,2020,385740508436.965
AR,2019,447754683615.225
AR,2018,524819892360.176
AR,2017,643628393281.364
AR,2016,557532320662.955
AR,2015,594749285413.212
AR,2014,526319673731.638
AR,2013,552025140252.246
AR,2012,545982375701.128
AR,2011,530158122010.442
AR,2010,423627422092.49
AR,2009,332976484577.619
AR,2008,361558037110.419
AR,2007,287530508430.568
AR,2006,232557260817.308
AR,2005,198737095012.282
AR,2004,164657930452.787
AR,2003,127586973492.177
AR,2002,97724004251.8602
AR,2001,268696750000.0
AR,2000,284203750000.0
AR,1999,283523000000.0
AR,1998,298948250000.0
AR,1997,292859000000.0
AR,1996,272149750000.0
AR,1995,258031750000.0
AR,1994,257440000000.0
AR,1993,236741715015.015
AR,1992,228778917308.17
AR,1991,189719984268.485
AR,1990,141352654305.163
AR,1989,76629728760.123
AR,1988,126890235049.092
AR,1987,108810885301.253
AR,1986,105872372613.857
AR,1985,88150891728.1064
AR,1984,116915052107.031
AR,1983,103979106777.911
AR,1982,84307486836.724
AR,1981,78676842366.5529
AR,1980,76961923741.0701
AR,1979,69252328951.6441
AR,1978,89049453088.3282
AR,1977,56781000101.0848
AR,1976,51169499892.1722
AR,1975,52438647921.9226
AR,1974,72436777342.4554
AR,1973,52544000116.9037
AR,1972,34733000536.2862
AR,1971,33293199095.4881
AR,1970,31584210365.5447
AR,1969,31256284543.6155
AR,1968,26436857247.4982
AR,1967,24256667553.2569
AR,1966,28630474727.9023
AR,1965,28344705966.6389
AR,1964,25605249381.7597
AR,1963,18272123664.4715
AR,1962,18337691145.3688
AR,1961,20132220374.9093
AR,1960,15865474315.4056
BO,2024,54881327452.9667
BO,2023,52340206946.4544
BO,2022,50959081953.6903
BO,2021,47877892402.3155
BO,2020,42313784081.042
BO,2019,49056643589.0014
BO,2018,48414038842.2576
BO,2017,45927439594.7902
BO,2016,33941126193.9219
BO,2015,33000198248.9146
BO,2014,32996188017.3661
BO,2013,30659338885.6729
BO,2012,27084497481.9103
BO,2011,23963164696.592
BO,2010,19649723722.1034
BO,2009,17339992193.7322
BO,2008,16674276285.8956
BO,2007,13120108008.3477
BO,2006,11451844902.2214
BO,2005,9549122905.32852
BO,2004,8773451751.5121
BO,2003,8082399639.54305
BO,2002,7905485146.44351
BO,2001,8141516928.39489
BO,2000,8397855484.76908
BO,1999,8285064434.56826
BO,1998,8497494652.12546
BO,1997,7925736821.45034
BO,1996,7396949126.35685
BO,1995,6715161732.22658
BO,1994,5981222858.82727
BO,1993,5734699488.84934
BO,1992,5643868748.68126
BO,1991,5343262457.10226
BO,1990,4867582597.51312
BO,1989,4715973437.43673
BO,1988,4597612362.2748
BO,1987,4347956337.93221
BO,1986,3959382833.13461
BO,1985,5377276554.93016
BO,1984,6169483225.35915
BO,1983,5422656823.38212
BO,1982,5594126368.90981
BO,1981,5891598694.9429
BO,1980,4537479608.48287
BO,1979,4421336382.94397
BO,1978,3758220889.55522
BO,1977,3227436281.85907
BO,1976,2731984007.996
BO,1975,2404697651.17441
BO,1974,2100249875.06247
BO,1973,1262968515.74213
BO,1972,1257615644.97932
