country,year,value
AR,2024,45696159
AR,2023,45538401
AR,2022,45407904
AR,2021,45312281
AR,2020,45191965
AR,2019,44973465
AR,2018,44654882
AR,2017,44288894
AR,2016,43900313
AR,2015,43477012
AR,2014,43024071
AR,2013,42582455
AR,2012,42161721
AR,2011,41730660
AR,2010,41288694
AR,2009,40854831
AR,2008,40424148
AR,2007,40016763
AR,2006,39622115
AR,2005,39216789
AR,2004,38815916
AR,2003,38424282
AR,2002,38029349
AR,2001,37624825
AR,2000,37213984
AR,1999,36794682
AR,1998,36372860
AR,1997,35947791
AR,1996,35513793
AR,1995,35070020
AR,1994,34613491
AR,1993,34152717
AR,1992,33693527
AR,1991,33230294
AR,1990,32755901
AR,1989,32270948
AR,1988,31780532
AR,1987,31291762
AR,1986,30811980
AR,1985,30336441
AR,1984,29863093
AR,1983,29391332
AR,1982,28924262
AR,1981,28463959
AR,1980,28011596
AR,1979,27568895
AR,1978,27132158
AR,1977,26701805
AR,1976,26282283
AR,1975,25874107
AR,1974,25461351
AR,1973,25046005
AR,1972,24644328
AR,1971,24257208
AR,1970,23878327
AR,1969,23508711
AR,1968,23150583
AR,1967,22799059
AR,1966,22453893
AR,1965,22112629
AR,1964,21769453
AR,1963,21421705
AR,1962,21072538
AR,1961,20726276
AR,1960,20386045
BO,2024,12413315
BO,2023,12244159
BO,2022,12077154
BO,2021,11937360
BO,2020,11816299
BO,2019,11671386
BO,2018,11508368
BO,2017,11344587
BO,2016,11180020
BO,2015,11014705
BO,2014,10848888
BO,2013,10682608
BO,2012,10515807
BO,2011,10348929
BO,2010,10182345
BO,2009,10016275
BO,2008,9850858
BO,2007,9685960
BO,2006,9521689
BO,2005,9360754
BO,2004,9204287
BO,2003,9050700
BO,2002,8900355
BO,2001,8752736
BO,2000,8606326
BO,1999,8459806
BO,1998,8313394
BO,1997,8167900
BO,1996,8021736
BO,1995,7874676
BO,1994,7727322
BO,1993,7579195
BO,1992,7430336
BO,1991,7280289
BO,1990,7130142
BO,1989,6981766
BO,1988,6835508
BO,1987,6692162
BO,1986,6552479
BO,1985,6416185
BO,1984,6281868
BO,1983,6149060
BO,1982,6018088
BO,1981,5888109
BO,1980,5758900
BO,1979,5630849
BO,1978,5504123
BO,1977,5379166
BO,1976,5256496
BO,1975,5137539
BO,1974,5022475
BO,1973,4910200
BO,1972,4800978
BO,1971,4694342
BO,1970,4590010
BO,1969,4488232
BO,1968,4388944
BO,1967,4292572
BO,1966,4199550
BO,1965,4109796
BO,1964,4022996
BO,1963,3938913
BO,1962,3857493
BO,1961,3778731
BO,1960,3702323
BR,2024,211998573
BR,2023,211140729
BR,2022,210306415
BR,2021,209550294
BR,2020,208660842
BR,2019,207455459
BR,2018,206107261
BR,2017,204703445
BR,2016,203218114
BR,2015,201675532
BR,2014,200085127
BR,2013,198478299
BR,2012,196876111
BR,2011,195284734
BR,2010,193701929
BR,2009,192079951
BR,2008,190367302
BR,2007,188552320
BR,2006,186653106
BR,2005,184688101
BR,2004,182675143
BR,2003,180622688
BR,2002,178503484
BR,2001,176301203
BR,2000,174018282
BR,1999,171641543
BR,1998,169159655
BR,1997,166661659
BR,1996,164202549
BR,1995,161735073
BR,1994,159265006
BR,1993,156794577
BR,1992,154275079
BR,1991,151724256
BR,1990,149143223
BR,1989,146502972
BR,1988,143826357
BR,1987,141104944
BR,1986,138336370
BR,1985,135515595
BR,1984,132658864
BR,1983,129790077
BR,1982,126923155
BR,1981,124063109
BR,1980,121207461
BR,1979,118380821
BR,1978,115600942
BR,1977,112875292
BR,1976,110213349
BR,1975,107619565
BR,1974,105089675
BR,1973,102600976
BR,1972,100146797
BR,1971,97739273
BR,1970,95375651
BR,1969,93045777
BR,1968,90741240
BR,1967,88446124
BR,1966,86139359
BR,1965,83817583
BR,1964,81488595
BR,1963,79164235
BR,1962,76865323
BR,1961,74605447
BR,1960,72388126
CL,2024,19764771
CL,2023,19658835
CL,2022,19553036
CL,2021,19456334
CL,2020,19370624
CL,2019,19197744
CL,2018,18893191
CL,2017,18558868
CL,2016,18267221
CL,2015,18047625
CL,2014,17864195
CL,2013,17687006
CL,2012,17519119
CL,2011,17351816
CL,2010,17181464
CL,2009,17009731
CL,2008,16838988
CL,2007,16671581
CL,2006,16509195
CL,2005,16348778
CL,2004,16187322
CL,2003,16024752
CL,2002,15857925
CL,2001,15683849
CL,2000,15503635
CL,1999,15319313
CL,1998,15127799
CL,1997,14932434
CL,1996,14734046
CL,1995,14527381
CL,1994,14316256
CL,1993,14102276
CL,1992,13884577
CL,1991,13662491
CL,1990,13437176
CL,1989,13215005
CL,1988,12999424
CL,1987,12790150
CL,1986,12588914
CL,1985,12395274
CL,1984,12207733
CL,1983,12026138
CL,1982,11850214
CL,1981,11678717
CL,1980,11508550
CL,1979,11339779
CL,1978,11172695
CL,1977,11005519
CL,1976,10838251
CL,1975,10671559
CL,1974,10505817
CL,1973,10340362
CL,1972,10174678
CL,1971,10009701
CL,1970,9845344
CL,1969,9680282
CL,1968,9514716
CL,1967,9348939
CL,1966,9181722
CL,1965,9012938
CL,1964,8842525
CL,1963,8670144
CL,1962,8497059
CL,1961,8324802
CL,1960,8153350
CO,2024,52886363
CO,2023,52321152
CO,2022,51737944
CO,2021,51188173
CO,2020,50629997
CO,2019,49907985
CO,2018,49024465
CO,2017,48131078
CO,2016,47437512
CO,2015,46969940
CO,2014,46565429
CO,2013,46151584
CO,2012,45715810
CO,2011,45259614
CO,2010,44777319
CO,2009,44271541
CO,2008,43758808
CO,2007,43235374
CO,2006,42691084
CO,2005,42128977
CO,2004,41543171
CO,2003,40937429
CO,2002,40324680
CO,2001,39709262
CO,2000,39089934
CO,1999,38454863
CO,1998,37792165
CO,1997,37121149
CO,1996,36462745
CO,1995,35804662
CO,1994,35127410
CO,1993,34441473
CO,1992,33760571
CO,1991,33098372
CO,1990,32440069
CO,1989,31776279
CO,1988,31130524
CO,1987,30499467
CO,1986,29879112
CO,1985,29268470
CO,1984,28642690
CO,1983,27988173
CO,1982,27338331
CO,1981,26713267
CO,1980,26104498
CO,1979,25515626
CO,1978,24950337
CO,1977,24393494
CO,1976,23858810
CO,1975,23344644
CO,1974,22833469
CO,1973,22325374
CO,1972,21819563
CO,1971,21319096
CO,1970,20811782
CO,1969,20291942
CO,1968,19766796
CO,1967,19235618
CO,1966,18702688
CO,1965,18169050
CO,1964,17637411
CO,1963,17113823
CO,1962,16599029
CO,1961,16095203
CO,1960,15606209
CR,2024,5129910
CR,2023,5105525
